business_id,similar_1,similar_2,similar_3
--I7YYLada0tSLkORTHb5Q,TWIISTED Burgers & Sushi - Medina,Academy Tavern - Cleveland,Claddagh Irish Pub - Lyndhurst
-49WY_TEa9ZEcRk_GnuLog,Fourk - Mentor,Manhattan Deli Bar & Grille - Willoughby,Urban Roadhouse - Mentor
-8O8sVCnaIKHP-596zN9UA,Abuelo's Mexican - Warrensville Heights,Prosperity Social Club - Cleveland,Lake House Cafe - Lakewood
-B_4pHQkzU12AMaYkkY4cw,Blazin Bills - Burton,Aladdins' Bakery & Market - Cleveland,Szechuan Gourmet - Cleveland
-Biboxy2pG3MovBOF_r4SQ,The Black Pig - Cleveland,Music Box Supper Club - Cleveland,Ari's Family Restaurant - North Olmsted
-F0B5F1YLx7093otwgboxw,Plank Road Tavern - Lakewood,Johnny's Little Bar - Cleveland,Stamper's Grill Pub - Fairview Park
-GOsHrWPC0meDRgkCEgC8w,D'Vine Wine Bar - Cleveland,Sarita a Restaurant - Lakewood,Nick's Diner - Cleveland
-K_qGSp7q61BkkjP_FSsEQ,Moncho's Bar & Grill - Cleveland,Oriental Palace Buffet - Cleveland,Ferris Shawarma - Lakewood
-MC7EFxTsyKMKB3zeP_FIQ,Happy Dog - Cleveland,Mike's Place - Kent,The Harp - Cleveland
-N_YCDH4HijYnJ-RisQfHA,Crop Kitchen - Cleveland,The Red Chimney - Cleveland,Station 43 Tavern - Solon
-OD5KnGJk4Ld8IVa2jAuFA,Trivs - Strongsville,Bombaychaat - Cleveland,Lopez - Cleveland Heights
-PkxxFbXpu0xBUB3rc0O6Q,BiryaniHut Express - Westlake,Zoup! - Middleburg Heights,Mike & Dee's Diner - Cleveland
-V-fpvR47iZJ5jq8Eit7ng,Pure & Supreme Cuisine - Cleveland,The Old Angle Tavern - Cleveland,Hoopples - Cleveland
-_DxZ8gKU50sfuZEu4ypKg,Spice Thai Cuisine - Twinsburg,Ginza Sushi House - Cleveland,King Wah - Rocky River
-bsOmx7bbzaYhnT4fq1Pjg,Maxi's - Cleveland,Barbarino's - Olmsted Falls,Tomaydo Tomahhdo - Woodmere
-dFfucHmOtgDmDneps-mgA,J Gumbo's - Independence,Taza - A Lebanese Grill - Woodmere,I Heart Waffles - Shaker Heights
-fn65iT4z-nh1Ybfyajxng,Chapati Indian Grill - Cleveland,Taza A Lebanese Grill - Cleveland,Dino's III - Wickliffe
-kTHAUKuzh7cFZjVAW55Ug,Barrio - Cleveland Heights,Anatolia Cafe - Cleveland Heights,Hibachi Japan Steak House - Cuyahoga Falls
-lJtyCOTVInWusU9YF120A,Bruno's Ristorante - Cleveland,Alfredo's at the Inn Italian Restaurant - Mayfield Village,Buca di Beppo - Westlake
-mcuv5UOSmbzi-aQNsUI9A,The Proper Pig Smokehouse - Lakewood,Pita Pit - Fairview Park,Otani Noodle - Cleveland
