business_id,similar_1,similar_2,similar_3
--I7YYLada0tSLkORTHb5Q,Two Bucks - Mayfield Heights,Pub Frato - Concord,A Bar and Kitchen - Cleveland
-49WY_TEa9ZEcRk_GnuLog,Bistro 70 - Painesville,Compadres - Painesville,L.A. Pete's - Independence
-8O8sVCnaIKHP-596zN9UA,Bahama Breeze - Beachwood,100th Bomb Group - Cleveland,Sangria y Tapas Bar & Restaurant - Westlake
-B_4pHQkzU12AMaYkkY4cw,The Gorilla - Lakewood,Famous Dave's - North Olmsted,Tom + Chee - Strongsville
-Biboxy2pG3MovBOF_r4SQ,Yours Truly Restaurant - Cleveland,Mike & Dee's Diner - Cleveland,Bistro 70 - Painesville
-F0B5F1YLx7093otwgboxw,ABC the Tavern - Cleveland,Hoopples - Cleveland,Riverwood Cafe - Lakewood
-GOsHrWPC0meDRgkCEgC8w,Yours Truly Restaurants - Chagrin Falls,Old Fashion Hot Dogs - Cleveland,The Coney Company - Cleveland
-K_qGSp7q61BkkjP_FSsEQ,Southside Diner - Parma,Kelly's Cafe - Brunswick,Huron Square Deli - Cleveland
-MC7EFxTsyKMKB3zeP_FIQ,NY Bagel Deli - Medina,Big Al's Diner - Cleveland,Rise & Shine Cafe - Kent
-N_YCDH4HijYnJ-RisQfHA,Harry Buffalo - Cleveland,Harry Buffalo - Highland Heights,Local Tavern - Willoughby Hills
-OD5KnGJk4Ld8IVa2jAuFA,Chipotle Mexican Grill - Cleveland,Villa Y Zapata - Cleveland,Bob Evans - Beachwood
-PkxxFbXpu0xBUB3rc0O6Q,DiBella's Subs - Warrensville Hts.,Phusion Cafe - Cleveland,Brown Sugar Thai Cuisine - Rocky River
-V-fpvR47iZJ5jq8Eit7ng,Guarino's Restaurant - Cleveland,La Bodega - Cleveland,Ice Cream Joy - Lakewood
-_DxZ8gKU50sfuZEu4ypKg,Szechuan Cafe - Cleveland,Cuisine of India - Parma Heights,Pari Authentic Indian Cuisine - Chesterland
-bsOmx7bbzaYhnT4fq1Pjg,Latitude 41n - Cleveland,Presti's Bakery - Cleveland,D'Italia - Westlake
-dFfucHmOtgDmDneps-mgA,Hyde Park Prime Steakhouse - Westlake,Bonefish Grill - Independence,"Red, the Steakhouse - Beachwood"
-fn65iT4z-nh1Ybfyajxng,Fiesta Jalapeños - North Ridgeville,Tomo Sushi & Hibachi - Cleveland,Nick's Diner - Cleveland
-kTHAUKuzh7cFZjVAW55Ug,Johnny Mango World Cafe & Bar - Cleveland,Bloom Bakery at Public Square - Cleveland,Hibachi Japan Steak House - Cuyahoga Falls
-lJtyCOTVInWusU9YF120A,Bricco - Cleveland,Bravo! Cucina Italiana - Woodmere,Trentina - Cleveland
-mcuv5UOSmbzi-aQNsUI9A,Olive Garden Italian Restaurant - Parma,Lyndhurst Grill by J. Alexander's - Lyndhurst,Blue Sky Restaurant - Elyria
-o0NsIlI4n-qaGThHzJ0Dw,Angie's Soul Cafe - Cleveland,Tom + Chee - Strongsville,Famous Dave's - North Olmsted
-vDDh94UcgxSNjMzi4UDBA,Greedy Girl - Cleveland Heights,Mister Brisket - Cleveland,Mint Cafe - Cleveland Heights
-z_DR7omzpcR__l7MbDu0A,Burrito Loco - Mentor-on-the-Lake,Panda Wok Asian Cuisine - Lakewood,Rincón Criollo - Cleveland
02AVQHu7QOpfa0Mz--DQQg,Dave's Cosmic Subs - Cleveland Heights,Franklin Square Deli - Kent,La Campagna - Westlake
02E9r4BQzVrA76Bf7G-KMw,pizzaBOGO - Cleveland,Lucci's Place - Kent,Valentino's Pizza - Cleveland
